TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2018mnd,12:07:04.740,+09:06:48.15,2018-04-22 05:32:43.584,2024-03-20,18.3076,ABMag,r - ZTF,0.439,Seyfert1,2MASX J12070477+0906477,['2MASX J12070477+0906477' '181.77' '9.113' '0.439' 'inf' 'Seyfert1' 'Sy1'],K. De (Caltech) on behalf of ZTF,Yes
2024erf,11:41:58.339,+51:29:14.65,2024-03-18 10:36:42.624,2024-03-20,18.606,ABMag,orange - ATLAS,0.489,Galaxy,SDSS J114158.28+512914.7,['SDSS J114158.28+512914.7' '175.493' '51.487' '0.489' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024erx,15:19:49.343,+08:04:24.79,2024-03-14 10:24:42.912,2024-03-20,19.1778,ABMag,r - ZTF,1.652,Galaxy,SDSS J151949.39+080423.2,['SDSS J151949.39+080423.2' '229.956' '8.073' '1.652' 'inf' 'Galaxy' 'G'],K. De (Caltech) on behalf of ZTF,Yes
2024eqy,09:21:22.983,+73:48:04.73,2024-03-05 05:51:21.600,2024-03-20,19.92,ABMag,g - ZTF,1.747,Galaxy,Gaia DR3 1121198502498057088,"['Gaia DR3 1121198502498057088' '140.344' '73.801' '1.747' 'inf' 'Galaxy'
 'G']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024eqd,12:40:50.666,-03:27:38.33,2024-03-19 09:28:49.002,2024-03-20,19.1581,ABMag,r - ZTF,2.182,Galaxy,2dFGRS TGN186Z072,['2dFGRS TGN186Z072' '190.212' '-3.46' '2.182' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia,Yes
2024eqg,16:45:52.716,+40:11:37.48,2024-03-18 11:50:00.997,2024-03-20,19.043,ABMag,r - ZTF,2.556,Galaxy,SDSS J164552.85+401139.1,['SDSS J164552.85+401139.1' '251.47' '40.194' '2.556' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia,Yes
2024erl,14:15:19.574,+23:29:16.14,2024-03-19 09:58:35.003,2024-03-20,19.9564,ABMag,g - ZTF,4.033,Galaxy,SDSS J141519.66+232912.1,['SDSS J141519.66+232912.1' '213.832' '23.487' '4.033' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia,Yes
2024erj,13:32:41.577,+61:43:36.13,2024-03-19 10:22:04.999,2024-03-20,20.1152,ABMag,g - ZTF,4.158,Galaxy,SDSS J133242.15+614336.6,['SDSS J133242.15+614336.6' '203.176' '61.727' '4.158' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia,Yes
2024eqe,11:57:52.774,+55:18:42.17,2024-03-14 09:47:24.996,2024-03-20,20.5703,ABMag,r - ZTF,4.384,Galaxy,2MASX J11575286+5518458,['2MASX J11575286+5518458' '179.47' '55.313' '4.384' 'inf' 'Galaxy' 'G'],Jesper Sollerman on behalf of ZTF,Yes
2024eqj,21:10:13.634,+01:24:16.54,2024-03-18 12:32:37.997,2024-03-20,18.2673,ABMag,r - ZTF,4.554,Galaxy,LAMOST J211013.33+012415.5,['LAMOST J211013.33+012415.5' '317.556' '1.404' '4.554' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia,No
2024ern,14:16:26.348,+53:22:47.54,2024-03-19 09:51:42.002,2024-03-20,20.4412,ABMag,g - ZTF,4.8,Galaxy,Gaia DR3 1608237176705353600,['Gaia DR3 1608237176705353600' '214.112' '53.38' '4.8' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia,Yes
2024epv,12:57:26.662,-30:46:44.47,2024-03-19 00:18:40.608,2024-03-20,19.401,ABMag,cyan - ATLAS,5.298,Galaxy,WINGS J125726.44-304648.9,['WINGS J125726.44-304648.9' '194.36' '-30.78' '5.298' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024epz,04:08:57.445,+27:11:46.40,2024-03-19 06:49:16.608,2024-03-20,18.419,ABMag,orange - ATLAS,6.247,Galaxy,UGC  2964,['UGC  2964' '62.239' '27.198' '6.247' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024eps,06:42:08.773,-21:12:15.07,2024-03-19 03:27:21.600,2024-03-20,18.51,ABMag,g - ZTF,7.37,Galaxy,LEDA  831320,['LEDA  831320' '100.539' '-21.204' '7.37' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024epx,08:56:59.574,-01:55:13.18,2024-03-19 05:58:33.600,2024-03-20,18.67,ABMag,r - ZTF,7.521,Galaxy,GAMA J085700.01-015516.9,['GAMA J085700.01-015516.9' '134.25' '-1.921' '7.521' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024eqa,08:09:48.280,-17:16:03.86,2024-03-19 10:22:34.176,2024-03-20,19.35,ABMag,L - GOTO,8.881,Galaxy,LEDA   80104,['LEDA   80104' '122.449' '-17.269' '8.881' 'inf' 'Galaxy' 'G'],M. Kennedy,No
2024eqo,09:39:43.869,+65:57:37.98,2024-03-11 06:14:24.000,2024-03-20,20.33,ABMag,g - ZTF,9.445,LINER,2MASX J09394385+6557476,['2MASX J09394385+6557476' '144.933' '65.963' '9.445' 'inf' 'LINER' 'LIN'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
