TNS_ID,RA,DEC,DiscoveryDate,Mag,MagUnit,Filter,Reporter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Gal_1_dist,Gal_1_z
2023tjv,05:49:29.696,-25:00:54.20,2023-09-21 08:00:55.872,18.921,ABMag,orange - ATLAS,J. Tonry,1.201,Galaxy,LEDA  783584,['LEDA  783584' '87.374' '-25.015' '1.201' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tjv,05:49:29.696,-25:00:54.20,2023-09-21 08:00:55.872,18.921,ABMag,orange - ATLAS,J. Tonry,1.201,Galaxy,LEDA  783584,['LEDA  783584' '87.374' '-25.015' '1.201' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tsn,03:48:34.180,+75:21:29.49,2023-09-21 11:59:57.002,20.3428,ABMag,r - ZTF,A. Munoz-Arancibia,2.383,Galaxy,Gaia DR3 550903192929334528,['Gaia DR3 550903192929334528' '57.14' '75.358' '2.383' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tsn,03:48:34.180,+75:21:29.49,2023-09-21 11:59:57.002,20.3428,ABMag,r - ZTF,A. Munoz-Arancibia,2.383,Galaxy,Gaia DR3 550903192929334528,['Gaia DR3 550903192929334528' '57.14' '75.358' '2.383' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tmg,16:34:20.634,+49:14:07.34,2023-09-22 03:49:01.920,19.7417,ABMag,g - ZTF,K. De (Caltech) on behalf of ZTF,4.636,GtowardsCl,2MASX J16342110+4914078,"['2MASX J16342110+4914078' '248.588' '49.236' '4.636' 'inf' 'GtowardsCl'
 'GiC']",,,,,,,,
2023tmg,16:34:20.634,+49:14:07.34,2023-09-22 03:49:01.920,19.7417,ABMag,g - ZTF,K. De (Caltech) on behalf of ZTF,4.636,GtowardsCl,2MASX J16342110+4914078,"['2MASX J16342110+4914078' '248.588' '49.236' '4.636' 'inf' 'GtowardsCl'
 'GiC']",,,,,,,,
2023tmg,16:34:20.634,+49:14:07.34,2023-09-22 03:49:01.920,19.7417,ABMag,g - ZTF,K. De (Caltech) on behalf of ZTF,4.636,GtowardsCl,2MASX J16342110+4914078,"['2MASX J16342110+4914078' '248.588' '49.236' '4.636' 'inf' 'GtowardsCl'
 'GiC']",,,,,,,,
2023tmg,16:34:20.634,+49:14:07.34,2023-09-22 03:49:01.920,19.7417,ABMag,g - ZTF,K. De (Caltech) on behalf of ZTF,4.636,GtowardsCl,2MASX J16342110+4914078,"['2MASX J16342110+4914078' '248.588' '49.236' '4.636' 'inf' 'GtowardsCl'
 'GiC']",,,,,,,,
2023tsq,23:12:24.189,+17:42:41.52,2023-09-22 06:46:15.004,19.8423,ABMag,r - ZTF,A. Munoz-Arancibia,0.223,Galaxy,LAMOST J231224.20+174241.3,"['LAMOST J231224.20+174241.3' '348.101' '17.711' '0.223' 'inf' 'Galaxy'
 'G']",,,,,,,,
2023tsq,23:12:24.189,+17:42:41.52,2023-09-22 06:46:15.004,19.8423,ABMag,r - ZTF,A. Munoz-Arancibia,0.223,Galaxy,LAMOST J231224.20+174241.3,"['LAMOST J231224.20+174241.3' '348.101' '17.711' '0.223' 'inf' 'Galaxy'
 'G']",,,,,,,,
2023tky,00:06:16.858,+35:11:11.42,2023-09-22 11:03:40.032,18.772,ABMag,cyan - ATLAS,J. Tonry,3.753,Galaxy,2MASX J00061717+3511139,['2MASX J00061717+3511139' '1.571' '35.187' '3.753' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tky,00:06:16.858,+35:11:11.42,2023-09-22 11:03:40.032,18.772,ABMag,cyan - ATLAS,J. Tonry,3.753,Galaxy,2MASX J00061717+3511139,['2MASX J00061717+3511139' '1.571' '35.187' '3.753' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tlp,04:43:04.611,-25:22:51.83,2023-09-23 01:04:27.264,18.772,ABMag,cyan - ATLAS,J. Tonry,3.509,Galaxy,LEDA  779596,['LEDA  779596' '70.769' '-25.382' '3.509' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tlp,04:43:04.611,-25:22:51.83,2023-09-23 01:04:27.264,18.772,ABMag,cyan - ATLAS,J. Tonry,3.509,Galaxy,LEDA  779596,['LEDA  779596' '70.769' '-25.382' '3.509' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tml,23:45:16.226,-26:03:13.34,2023-09-24 02:26:13.056,18.694,ABMag,orange - ATLAS,J. Tonry,1.336,Galaxy,2MASX J23451629-2603129,['2MASX J23451629-2603129' '356.318' '-26.054' '1.336' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tml,23:45:16.226,-26:03:13.34,2023-09-24 02:26:13.056,18.694,ABMag,orange - ATLAS,J. Tonry,1.336,Galaxy,2MASX J23451629-2603129,['2MASX J23451629-2603129' '356.318' '-26.054' '1.336' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tml,23:45:16.226,-26:03:13.34,2023-09-24 02:26:13.056,18.694,ABMag,orange - ATLAS,J. Tonry,1.336,Galaxy,2MASX J23451629-2603129,['2MASX J23451629-2603129' '356.318' '-26.054' '1.336' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tml,23:45:16.226,-26:03:13.34,2023-09-24 02:26:13.056,18.694,ABMag,orange - ATLAS,J. Tonry,1.336,Galaxy,2MASX J23451629-2603129,['2MASX J23451629-2603129' '356.318' '-26.054' '1.336' 'inf' 'Galaxy' 'G'],,,,,,,,
2023ttq,17:30:50.660,+54:43:35.11,2023-09-24 03:57:49.003,20.3113,ABMag,r - ZTF,A. Munoz-Arancibia,0.303,Galaxy,Gaia DR3 1420906886691099648,"['Gaia DR3 1420906886691099648' '262.711' '54.727' '0.303' 'inf' 'Galaxy'
 'G']",,,,,,,,
2023tnc,23:12:21.562,-22:07:36.20,2023-09-24 07:02:46.997,18.7409,ABMag,g - ZTF,F. Forster,3.896,Galaxy,LEDA  818845,['LEDA  818845' '348.09' '-22.128' '3.896' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tnc,23:12:21.562,-22:07:36.20,2023-09-24 07:02:46.997,18.7409,ABMag,g - ZTF,F. Forster,3.896,Galaxy,LEDA  818845,['LEDA  818845' '348.09' '-22.128' '3.896' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tnc,23:12:21.562,-22:07:36.20,2023-09-24 07:02:46.997,18.7409,ABMag,g - ZTF,F. Forster,3.896,Galaxy,LEDA  818845,['LEDA  818845' '348.09' '-22.128' '3.896' 'inf' 'Galaxy' 'G'],,,,,,,,
