TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023rna,01:04:40.365,-01:03:12.95,2023-09-29,SN Ia,0.09,2023-09-28 14:44:16,J. Johansson
2023tow,18:41:41.540,-07:09:33.95,2023-09-29,Nova,0.0,2023-09-28 15:11:39,Claudio Balcon (Belluno A.O. ISSP)
2023sqs,01:58:19.217,+14:33:36.68,2023-09-29,SN Ia,0.089,2023-09-28 15:16:51,C. Fremling
2023tlp,04:43:04.603,-25:22:51.71,2023-09-29,SN Ia,0.091,2023-09-28 15:17:51,C. Fremling
2023quu,01:38:54.511,+31:56:52.20,2023-09-29,SN I,0.066,2023-09-28 18:08:50,Takashi Nagao
2023sgs,21:57:33.542,+27:31:41.50,2023-09-29,SN I,0.102,2023-09-28 18:12:55,Takashi Nagao
2023ssb,03:14:57.714,-20:33:16.77,2023-09-30,SN Ia,0.11,2023-09-29 03:22:18,C. Lidman (ANU)
2023suh,03:39:08.476,-09:32:42.45,2023-09-30,SN Ia,0.07,2023-09-29 03:26:45,C. Lidman (ANU)
2023trk,00:44:11.459,+41:20:23.74,2023-09-30,Nova,,2023-09-29 04:46:36,Jingyuan Zhao
2023svf,16:44:05.250,+30:18:09.94,2023-09-30,SN Ia,0.102,2023-09-29 05:02:24,C. Fremling
2023tsz,08:37:29.530,-00:02:35.74,2023-09-30,SN Ibn,0.028,2023-09-29 09:54:35,M. Pursiainen
2023ttu,00:42:36.173,+41:17:18.08,2023-09-30,Nova,0.0,2023-09-29 23:52:49,Claudio Balcon (Belluno A.O. ISSP)
2023sar,23:22:29.860,+45:36:27.41,2023-10-01,SN Ic,0.015,2023-09-30 07:55:34,Takashi Nagao
2023tmh,00:43:20.153,+41:13:03.67,2023-10-02,Other,,2023-10-01 06:25:03,Jingyuan Zhao (Xingming Obs.)
2023ocx,17:16:48.681,+47:55:10.84,2023-10-03,SN Ia-CSM,0.076,2023-10-02 12:46:03,C. Angus
2023sed,01:56:08.004,+04:17:52.62,2023-10-03,SN Ia,0.14,2023-10-02 13:13:49,C. Angus
2023tsl,00:52:00.799,-09:28:55.31,2023-10-05,SN Ia,0.077736,2023-10-04 14:29:28,C. Fremling
2023rkg,21:49:34.360,-22:07:18.26,2023-10-05,SN Ib,0.007,2023-10-04 17:28:24,B. Ayala
2023swf,21:05:58.525,-14:50:30.30,2023-10-05,SN II,0.024,2023-10-04 17:28:24,B. Ayala
2023sym,17:57:32.730,+13:26:09.53,2023-10-05,SN Ia-91T-like,0.044,2023-10-04 17:28:24,B. Ayala
2023tfk,22:31:00.317,-55:33:04.28,2023-10-05,SN Ic,0.11,2023-10-04 17:28:24,B. Ayala
2023tng,22:25:31.984,+10:40:18.47,2023-10-05,SN Ia,0.043,2023-10-04 17:28:24,B. Ayala
2023tnh,20:51:34.867,-03:29:12.25,2023-10-05,SN Ia,0.056,2023-10-04 17:28:24,B. Ayala
2023tsq,23:12:24.189,+17:42:41.52,2023-10-05,SN Ia,0.082,2023-10-04 17:28:24,B. Ayala
2023tts,08:29:21.964,+11:45:27.86,2023-10-05,SN II,0.095,2023-10-04 17:28:24,B. Ayala
2023tvj,06:08:57.142,-21:31:19.85,2023-10-05,SN,0.04,2023-10-04 17:28:24,B. Ayala
2023tvp,20:11:25.334,-38:11:59.96,2023-10-05,SN IIb,0.019,2023-10-04 17:28:24,B. Ayala
2023tdw,21:43:00.555,+07:59:17.75,2023-10-06,SN Ia,0.076,2023-10-05 05:54:36,C. Fremling
2023rnl,04:08:37.781,-18:57:08.41,2023-10-06,SN IIP,0.03,2023-10-05 15:12:04,M. Ramirez
2023rnm,02:55:56.260,-18:37:11.71,2023-10-06,SN IIP,0.02,2023-10-05 15:12:04,M. Ramirez
2023rui,20:31:12.650,+01:25:24.74,2023-10-06,SN Ia,0.05,2023-10-05 15:12:04,M. Ramirez
2023slq,15:48:24.210,-23:36:33.91,2023-10-06,SN IIP,0.025,2023-10-05 15:12:04,M. Ramirez
2023sml,02:53:42.570,-37:40:16.68,2023-10-06,Nova,0.0,2023-10-05 15:12:04,M. Ramirez
2023sps,23:44:15.220,-23:31:44.88,2023-10-06,SN Ia-91bg-like,0.049,2023-10-05 15:12:04,M. Ramirez
2023sze,20:02:59.778,+15:22:35.93,2023-10-06,CV,0.0,2023-10-05 15:12:04,M. Ramirez
2023szq,01:18:01.550,-65:56:49.27,2023-10-06,CV,0.0,2023-10-05 15:12:04,M. Ramirez
2023taj,20:34:27.380,+02:33:23.04,2023-10-06,SN Ia,0.05,2023-10-05 15:12:04,M. Ramirez
2023tha,20:22:50.540,-37:54:09.14,2023-10-06,SN Ia,0.06,2023-10-05 15:12:04,M. Ramirez
2023thy,23:32:49.477,-22:26:03.46,2023-10-06,SN Ia,0.085,2023-10-05 15:12:04,M. Ramirez
2023tlt,07:04:56.284,-48:27:47.53,2023-10-06,SN Ia-91T-like,0.058,2023-10-05 15:12:04,M. Ramirez
2023tnb,01:12:51.699,-23:49:17.23,2023-10-06,SN Ia,0.063,2023-10-05 15:12:04,M. Ramirez
2023tqv,04:03:03.728,+07:18:35.77,2023-10-06,SN II,0.02,2023-10-05 15:12:04,M. Ramirez
2023tta,18:54:43.025,-27:25:06.25,2023-10-06,CV,0.0,2023-10-05 15:12:04,M. Ramirez
2023tuq,19:23:27.030,+24:37:33.06,2023-10-06,CV,0.0,2023-10-05 15:12:04,M. Ramirez
2023tus,06:06:11.185,-31:11:45.86,2023-10-06,SN Ic,0.046,2023-10-05 15:12:04,M. Ramirez
2023tuu,03:40:21.540,-58:49:08.26,2023-10-06,SN Ia,0.05,2023-10-05 15:12:04,M. Ramirez
2023txg,17:33:27.182,-55:02:18.47,2023-10-06,SN Ia,0.06,2023-10-05 15:12:04,M. Ramirez
2023txm,00:59:21.740,-48:02:57.16,2023-10-06,SN Ia,0.07,2023-10-05 15:12:04,M. Ramirez
2023txv,06:48:37.140,-64:16:51.96,2023-10-06,SN Ia,0.012,2023-10-05 15:12:04,M. Ramirez
2023txw,18:43:55.100,-52:51:58.56,2023-10-06,SN Ia,0.083,2023-10-05 15:12:04,M. Ramirez
2023tyl,01:45:21.620,+19:30:41.74,2023-10-06,SN Ia,0.069,2023-10-05 15:12:04,M. Ramirez
2023tqo,10:16:19.530,+35:59:26.12,2023-10-06,SN Ia,0.049094,2023-10-05 15:18:11,C. Fremling
2023twg,08:45:54.528,+12:47:12.16,2023-10-06,SN II,0.03,2023-10-05 18:28:29,M. A. Tucker (CCAPP/OSU) on behalf of the SCAT team.
2023tvs,07:44:30.458,+67:16:27.51,2023-10-06,SN II,0.014,2023-10-05 18:30:42,M. A. Tucker (CCAPP/OSU) on behalf of the SCAT team
2023uay,20:53:03.598,+26:42:40.80,2023-10-06,SN Ia,0.048,2023-10-05 18:41:28,M. A. Tucker (CCAPP/OSU) on behalf of the SCAT team
2023ubm,00:37:27.855,-04:34:16.89,2023-10-06,SN Ia,0.04,2023-10-05 18:45:20,M. A. Tucker (CCAPP/OSU) on behalf of the SCAT team
2023uda,20:26:42.688,+10:41:41.88,2023-10-07,SN Ia,0.01489,2023-10-06 09:32:33,Jason Hinkle on behalf of SCAT
2023ubp,23:10:31.073,+02:57:15.56,2023-10-07,SN Ibn,0.056,2023-10-06 11:29:10,Jason Hinkle on behalf of SCAT
2023tjl,21:57:39.918,-19:49:18.55,2023-10-07,SN Ia,0.062,2023-10-06 12:01:58,J. Johansson
2023sue,21:54:58.767,+03:06:00.07,2023-10-07,SN Ia,0.08,2023-10-06 12:03:28,J. Johansson
2023phn,00:40:29.153,-10:18:18.92,2023-10-07,SN II,0.0270319991,2023-10-06 12:09:45,U. Fremling
2023syg,20:49:40.991,-14:43:26.52,2023-10-07,SN Ia,0.07797,2023-10-06 12:13:18,Y. Qin
2023sba,09:12:37.037,+30:02:42.10,2023-10-07,SN IIP,0.026454,2023-10-06 12:17:49,K. Hinds
2023sga,16:27:59.842,+12:15:03.81,2023-10-07,SN Ia,0.03409,2023-10-06 12:19:16,J. Johansson
2023sau,05:03:18.865,-01:37:59.59,2023-10-07,SN II,0.016,2023-10-06 12:21:21,J. Sollerman
2023qtr,01:18:44.633,+04:44:53.88,2023-10-07,SN Ia-CSM,0.03299,2023-10-06 12:23:42,J. Johansson
2023nsm,23:25:52.796,+32:12:04.16,2023-10-07,SN Ia,0.06,2023-10-06 12:27:52,J. Johansson
2023qnh,17:04:10.337,+06:46:22.08,2023-10-07,SN Ib,0.0339200012,2023-10-06 12:34:24,J. Sollerman
2023uba,17:40:21.687,+09:24:47.16,2023-10-07,SN Ia,0.022,2023-10-06 17:14:53,M. A. Tucker (CCAPP/OSU) on behalf of the SCAT team
2023tyz,23:57:17.352,+26:37:05.88,2023-10-07,SN Ia,0.04,2023-10-06 17:21:10,M. A. Tucker (CCAPP/OSU) on behalf of the SCAT team
