TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023uhj,ZTF23abilxjj,,54.031636328436434,-0.34,0.49,20.0895,19.6022,2023-11-10T05:56:03.998382,9.0,3.0,,fading,SN,0.93,18.9396,19.6022,19.3933,18.8437,0.55,0.00125,60230.4,60258.2,23.935641444444443,-0.9974005888888888
2023xss,ZTF23abpyeqm,,52.84023215947673,0.61,0.49,19.7512,19.261,2023-11-14T10:03:37.998725,2.0,2.0,rising/peak,,NT,1.47,19.7512,19.261,18.7741,18.4471,0.33,0.050375,60258.4,60262.4,74.3941322,-22.842741975000003
2018mjj,ZTF18acchzlc,,1873.0519582480192,0.31,0.49,20.2487,19.7619,2018-12-04T04:27:43.004165,,,rising/peak,,SN,0.95,20.2487,19.7619,20.8359,20.6832,0.15,0.00125,58428.2,58456.2,15.47279896,-0.3287713
2023zxi,ZTF23abrrswp,,18.153617102652788,0.44,0.5,20.2739,19.773,2023-12-13T03:46:49.002227,4.0,3.0,rising/peak,,SN,1.24,20.2739,19.773,20.7471,19.8342,0.91,0.00208333,60268.2,60291.2,28.1048033,26.509227875
2023uzp,ZTF23abhzglu,,47.899365392979234,-0.05,0.5,20.2304,19.7265,2023-11-13T10:33:14.002571,8.0,2.0,,fading,NT,1.18,18.6697,18.7265,20.798,20.5343,0.26,0.01125,60232.5,60261.4,139.7721948357143,1.9706518642857145
2023wog,ZTF23abojjzp,,45.15483473706991,0.4,0.5,20.2556,19.755,2023-11-15T02:47:37.996780,2.0,2.0,,,SN,1.54,20.0885,19.755,20.9729,20.7128,0.26,0.008125,60251.1,60263.1,317.91545970000004,8.0934528
2023zxq,ZTF23abtjdtm,,17.850017602555454,0.24,0.5,18.8398,18.3362,2023-12-28T09:28:34.996810,13.0,12.0,rising/peak,,SN,4.65,18.7442,18.3362,19.7789,19.9446,-0.17,0.001875,60289.4,60306.4,137.1813589,48.96950682352941
2023zll,ZTF23absaqti,,19.09504833631217,0.3,0.5,19.8219,19.3263,2023-12-12T02:39:03.000946,3.0,3.0,,fading,SN,0.16,19.3849,19.3263,20.7056,20.2893,0.42,0.0116667,60285.1,60290.1,340.393134775,3.890784675
2021ahwt,ZTF21aaayfre,,1090.778038247954,0.1,0.5,19.8713,19.374,2021-01-15T12:07:05.001594,9.0,9.0,,fading,SN,0.01,19.5552,19.374,,,,,59215.5,59229.5,190.22236524615383,-6.248014792307692
2023xvr,ZTF23abpzknq,,48.85070638824254,0.34,0.5,20.2201,19.7186,2023-11-15T12:10:54.998420,3.0,3.0,,,SN,0.39,20.0806,19.7186,18.8782,18.0154,0.86,0.0405417,60258.5,60263.5,175.16468635,74.165152375
