TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_info,SDSS_image,Reporter
2023zcy,10:12:57.263,+39:28:50.28,2023-12-07 14:13:24.960,2023-12-09,20.36,ABMag,w - P1,0.0286586456601654,0.0157407044857067,DG_GALAXY_STARBURST,19.37487917201682,113290.53706349275,"['SDSS_53034_PLATEID_1357_FIBERID_202' '153.23858642578125'
 '39.48063659667969' 'DG_GALAXY_STARBURST' '113290.53706349275'
 '0.028658645660165422' '0.015740704485706733']",Yes,K. C. Chambers
2024art,00:43:01.450,+41:16:17.22,2024-01-23 22:57:59.616,2024-01-25,17.22,ABMag,g - Sloan,7.31821544960533,0.0276741735744802,F_P10 M31 old Cluster,15.009626697305258,780.0,"['P10_B090D' '10.75508' '41.26955' 'F_P10 M31 old Cluster' '780.0'
 '7.31821544960533' '0.02767417357448029']",No,M. Michaud (MCD Observatory) 
2018mmb,12:28:09.510,+44:05:08.02,2018-05-04 06:17:16.800,2024-01-15,19.72,ABMag,r - ZTF,2.638289447322243,0.0390439236418408,DG_QSO_STARBURST,16.762232726238725,3052.5033382098222,"['SDSS_52821_PLATEID_1371_FIBERID_53' '187.03860473632807'
 '44.0855598449707' 'DG_QSO_STARBURST' '3052.5033382098222'
 '2.638289447322243' '0.03904392364184084']",No,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zqy,11:15:21.847,+31:31:24.92,2023-12-06 14:33:30.240,2023-12-13,18.744,ABMag,orange - ATLAS,0.1560843283619411,0.0872191407914882,DG_GALAXY_STARBURST,14.04094097969988,115259.74044798306,"['SDSS_53460_PLATEID_2092_FIBERID_577' '168.841064453125'
 '31.523557662963867' 'DG_GALAXY_STARBURST' '115259.74044798306'
 '0.15608432836194117' '0.08721914079148829']",Yes,J. Tonry
2024mq,10:18:37.740,+12:10:45.05,2024-01-04 08:16:47.000,2024-01-07,17.11,ABMag,G - Gaia,0.1993419332274861,0.1507048743795334,DG_GALAXY_STARBURST,11.21936350346005,155938.64880748244,"['SDSS_53062_PLATEID_1746_FIBERID_292' '154.65728759765625'
 '12.179139137268066' 'DG_GALAXY_STARBURST' '155938.64880748244'
 '0.19934193322748614' '0.15070487437953342']",Yes,S.T. Hodgkin
2023aabs,12:03:34.499,+29:54:32.10,2023-12-13 11:38:22.998,2023-12-15,19.3909,ABMag,g - ZTF,0.2019783075897546,0.1885894977851542,DG_GALAXY_STARBURST,13.01331248007594,192591.85150418893,"['SDSS_53818_PLATEID_2228_FIBERID_279' '180.89378356933597'
 '29.90896224975586' 'DG_GALAXY_STARBURST' '192591.85150418893'
 '0.2019783075897546' '0.18858949778515424']",Yes,A. Munoz-Arancibia
2024dsl,11:04:58.622,+29:08:16.06,2024-03-02 12:56:33.792,2024-03-04,19.99,ABMag,w - P1,4.236694776667469,0.1901256411842344,DG_GALAXY_STARBURST,13.594796541557171,9256.326124345434,"['SDSS_53792_PLATEID_2213_FIBERID_359' '166.242919921875'
 '29.13792991638184' 'DG_GALAXY_STARBURST' '9256.326124345434'
 '4.236694776667469' '0.19012564118423447']",Yes,K. C. Chambers
2023wtm,03:17:51.824,-00:06:17.92,2023-11-05 07:31:12.999,2023-11-06,18.673,ABMag,g - ZTF,0.4152361705482906,0.2006024499902421,DG_QSO_STARBURST,12.161318835871487,99647.4498472444,"['SDSS_51821_PLATEID_413_FIBERID_191' '49.4658203125'
 '-0.1050008088350296' 'DG_QSO_STARBURST' '99647.4498472444'
 '0.41523617054829065' '0.20060244999024215']",Yes,F. Forster
2023zgc,10:23:44.586,+54:00:31.68,2023-12-09 07:46:33.600,2023-12-10,19.09,ABMag,r - ZTF,0.2282481102301276,0.2302936969902794,DG_GALAXY_STARFORMING,12.278589741351244,208113.37603303668,"['SDSS_52381_PLATEID_904_FIBERID_597' '155.93569946289062'
 '54.00875473022461' 'DG_GALAXY_STARFORMING' '208113.37603303668'
 '0.22824811023012764' '0.23029369699027943']",Yes,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2024chz,08:40:15.534,+23:22:29.69,2024-02-12 06:12:57.600,2024-02-13,18.9,ABMag,g - ZTF,0.5134313470578178,0.2614134101454042,DG_QSO_STARBURST,11.813360687396964,105019.66173424572,"['SDSS_53358_PLATEID_1931_FIBERID_285' '130.06488037109375'
 '23.374914169311523' 'DG_QSO_STARBURST' '105019.66173424572'
 '0.5134313470578178' '0.26141341014540426']",Yes,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2018mls,11:15:21.894,+31:31:24.90,2018-11-07 12:36:00.000,2023-12-21,19.43,ABMag,r - ZTF,0.501267367208232,0.2801056936909325,DG_GALAXY_STARBURST,12.193390316049566,115259.74044798306,"['SDSS_53460_PLATEID_2092_FIBERID_577' '168.841064453125'
 '31.523557662963867' 'DG_GALAXY_STARBURST' '115259.74044798306'
 '0.501267367208232' '0.2801056936909325']",Yes,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
